title,rating_count,console,genres,average_rating
Ape Escape,617,ps_one,Platformer,4.662285251215558
Ape Escape - Pumped & Primed,120,ps2,Minigame Collection,4.58
Ape Escape 2,413,ps2,Platformer| Action-Adventure,4.591598062953995
Ape Escape 3,400,ps2,Platformer,4.6232
Apocalypse,277,ps_one,Dual-Joystick Shooter,4.594440433212997
Aqua Aqua,12,ps2,Puzzle,4.83
Aqua Gt,43,ps_one|sega_dreamcast,Driving/Racing,4.468139534883721
Aqua Teen Hunger Force - Zombie Ninja Pro-Am,32,ps2,Action| Driving/Racing| Golf,4.626875
Aquanaut'S Holiday,9,ps_one,Action| Strategy,4.22
Aqutallion,8,super_nintendo,Adventure| Role-Playing,5.0
Ar Tonelico - Melody Of Elemia,280,ps2,Adventure| Role-Playing,4.49325
Ar Tonelico Ii - Melody Of Metafalica,210,ps2,Role-Playing,4.685714285714286
Araiguma Rascal,12,super_nintendo,Puzzle,4.0
Arc - Twilight Of The Spirits,49,ps2,Adventure| Role-Playing,4.55
Arc The Lad,596,ps_one,Strategy| Adventure| Role-Playing,4.563624161073825
Arc The Lad - End Of Darkness,46,ps2,Role-Playing,4.67
Arc The Lad - Twilight Of The Spirits,148,ps2,Adventure| Role-Playing,4.72
Arc The Lad Collection,26,ps_one,Adventure| Role-Playing,4.92
Arc The Lad Ii,720,ps_one,Strategy| Adventure| Role-Playing,4.597777777777777
Arc The Lad Iii,319,ps_one,Strategy| Adventure| Role-Playing,4.5848589341692785
Arcade Classics,10,sega_megadrive,Compilation,4.6
Arcade Classics Volume 1,1305,ps2,Action| Compilation,4.23
Arcade The,24,ps2,Puzzle,4.25
Arcade Usa,24,ps2,Bowling,4.08
Arcade'S Greatest Hits - The Atari Collection 1,209,super_nintendo|ps_one|sega_saturn,Action| Compilation,4.477703349282297
Arcade'S Greatest Hits - The Atari Collection 2,12,ps_one,Action| Sports| Driving/Racing| Simulation,4.75
Arcade'S Greatest Hits - Williams,18,ps_one,Compilation,4.78
Arcade'S Greatest Hits Midway 2,11,ps_one,Compilation,4.82
Arcade'S Greatest Hits The Atari Collection 1,1209,sega_saturn,Action| Compilation,4.2
Arcade'S Greatest Hits Williams,21,sega_saturn,Compilation,3.95
Arcana,77,super_nintendo,Role-Playing,4.9
Arcana Heart,79,ps2,Fighting,4.48
Archon,30,nes,Action| Strategy,3.43
Arctic,9,nes,Puzzle,3.8899999999999997
Arctic Thunder,33,ps2,Driving/Racing| Vehicular Combat,3.9381818181818176
Arcus Odyssey,39,super_nintendo|sega_megadrive,Action| Adventure,4.694615384615385
Ardy Lightfoot,51,super_nintendo,Action| Adventure,4.820980392156862
Are You Smarter Than A 5Th Grader - Make The Grade,9,ps2,Trivia/Board Game,4.89
Area 51,374,ps2|ps_one|sega_saturn,|Action| Shooter| Light-Gun Shooter|Action| Shooter| First-Person Shooter,4.454224598930481
Area 88,263,super_nintendo,Shoot Em Up,4.53
Arena Football,18,ps2,Sports| Football,4.67
Arena Football - Road To Glory,21,ps2,Sports| Football,4.57
Aretha,9,super_nintendo,Role-Playing,5.0
Argus,11,nes,Shoot Em Up,3.9100000000000006
Ariel The Little Mermaid,33,sega_megadrive,Action,4.3
